Phase,Loss,Accuracy
val,0.7402832508087158,0.75
val,0.6813997104763985,0.71875
val,0.7280047088861465,0.75
val,0.7143457569181919,0.78125
val,0.6687862947583199,0.78125
val,0.7529754564166069,0.75
val,0.7681368738412857,0.71875
val,0.7447109669446945,0.75
val,0.6760314702987671,0.78125
val,0.7483597844839096,0.75
val,0.7702836692333221,0.75
val,0.8349642753601074,0.71875
val,0.7843002080917358,0.71875
val,0.7030139155685902,0.75
val,0.7408090978860855,0.75
val,0.8337865322828293,0.6875
val,0.7576127648353577,0.75
val,0.6832540705800056,0.78125
val,0.8053284771740437,0.75
val,0.7627156972885132,0.75
val,0.754419170320034,0.71875
val,0.746867761015892,0.75
val,0.7203088328242302,0.75
val,0.7564954906702042,0.75
val,0.8032489120960236,0.75
val,0.7717592008411884,0.78125
val,0.8651127815246582,0.71875
val,0.728253647685051,0.78125
val,0.6749943494796753,0.78125
val,0.716276690363884,0.75
val,0.6709791496396065,0.78125
val,0.6939699277281761,0.75
val,0.7308443933725357,0.78125
val,0.7651049196720123,0.78125
val,0.623679518699646,0.78125
val,0.6802073791623116,0.75
val,0.8494879752397537,0.75
val,0.7786227911710739,0.71875
val,0.6872219294309616,0.78125
val,0.6641892120242119,0.78125
val,0.663539532572031,0.8125
val,0.6859871074557304,0.78125
val,0.7001998275518417,0.78125
val,0.6358193531632423,0.78125
val,0.7034849897027016,0.75
val,0.7088746801018715,0.78125
val,0.6665116026997566,0.78125
val,0.6993208676576614,0.78125
val,0.7036391273140907,0.78125
val,0.7692499607801437,0.75
val,0.7157646045088768,0.75
val,0.6942657381296158,0.78125
val,0.7292966693639755,0.75
val,0.7175014093518257,0.78125
val,0.7311517149209976,0.75
val,0.951155461370945,0.6875
val,0.8016969859600067,0.75
val,0.7808415293693542,0.75
val,0.6530768349766731,0.78125
val,0.7141443639993668,0.78125
val,0.7013188451528549,0.78125
val,0.7337962910532951,0.78125
val,0.7706747874617577,0.75
val,0.8006166070699692,0.75
val,0.7194673493504524,0.78125
val,0.7526555433869362,0.78125
val,0.7309821173548698,0.78125
val,0.7652434706687927,0.75
val,0.7732311710715294,0.75
val,0.7105827927589417,0.75
val,0.694893442094326,0.78125
val,0.7280656322836876,0.75
val,0.7417346984148026,0.78125
val,0.7640105187892914,0.71875
val,0.7677066549658775,0.75
val,0.7513863891363144,0.78125
val,0.6764670014381409,0.78125
val,0.8166504129767418,0.71875
val,0.7265458852052689,0.75
val,0.7781285047531128,0.71875
val,0.6979133486747742,0.8125
val,0.7199355959892273,0.75
val,0.730590358376503,0.78125
val,0.6967664733529091,0.75
val,0.6791165620088577,0.78125
val,0.7972260601818562,0.71875
val,0.779397264122963,0.71875
val,0.6768908575177193,0.78125
val,0.6779622957110405,0.8125
val,0.6560814678668976,0.78125
val,0.6376538127660751,0.8125
val,0.723016407340765,0.75
val,0.7058562077581882,0.78125
val,0.7211932465434074,0.75
val,0.7991462498903275,0.75
val,0.7177805304527283,0.78125
val,0.7870668321847916,0.78125
val,0.6420957893133163,0.8125
val,0.7224315404891968,0.78125
val,0.7200407013297081,0.78125
val,0.7072480544447899,0.78125
val,0.7496951371431351,0.78125
val,0.6811558604240417,0.78125
val,0.6461823955178261,0.78125
val,0.805774487555027,0.6875
val,0.7920984253287315,0.75
val,0.7344094514846802,0.75
val,0.6795029640197754,0.75
val,0.6894902847707272,0.75
val,0.7735821679234505,0.71875
val,0.7672580406069756,0.75
val,0.7451706677675247,0.71875
val,0.8227857202291489,0.75
val,0.7456894740462303,0.75
val,0.627886489033699,0.78125
val,0.6570679917931557,0.8125
val,0.7117379382252693,0.75
val,0.7391775622963905,0.78125
val,0.7253495901823044,0.78125
val,0.7142545953392982,0.78125
val,0.6536218449473381,0.78125
val,0.7174776047468185,0.75
val,0.6959973499178886,0.78125
val,0.6701123863458633,0.78125
val,0.713450014591217,0.75
val,0.7024580873548985,0.75
val,0.6283192038536072,0.78125
val,0.6971516460180283,0.78125
val,0.7162731811404228,0.75
val,0.7121107969433069,0.78125
val,0.7377534508705139,0.78125
val,0.6871086955070496,0.78125
val,0.7224329113960266,0.78125
val,0.6561489701271057,0.78125
val,0.7013812884688377,0.75
val,0.7819258719682693,0.75
val,0.6981724984943867,0.78125
val,0.643096037209034,0.75
val,0.6990945339202881,0.75
val,0.6602858975529671,0.78125
val,0.6793573871254921,0.78125
val,0.703727975487709,0.78125
val,0.7629852816462517,0.75
val,0.7541511654853821,0.78125
val,0.7376329749822617,0.78125
val,0.7341545075178146,0.75
val,0.7947436422109604,0.71875
val,0.7663663551211357,0.78125
val,0.8922916203737259,0.71875
val,0.7059175223112106,0.75
val,0.7403199374675751,0.78125
val,0.7000868171453476,0.75
val,0.7139633893966675,0.78125
val,0.7473286278545856,0.78125
val,0.6660380698740482,0.75
val,0.6965470016002655,0.78125
val,0.7098832949995995,0.75
val,0.7634540274739265,0.78125
val,0.8663596287369728,0.75
val,0.6822742074728012,0.75
val,0.6979677677154541,0.75
val,0.6913785710930824,0.78125
val,0.6687593273818493,0.78125
val,0.6727712601423264,0.78125
val,0.7456780150532722,0.75
val,0.7670491561293602,0.75
val,0.92470583319664,0.65625
val,0.7939301058650017,0.75
val,0.7139784172177315,0.75
val,0.8110918067395687,0.75
val,0.7349589318037033,0.75
val,0.7551964893937111,0.75
val,0.7009950280189514,0.78125
val,0.747957393527031,0.75
val,0.8325125128030777,0.75
val,0.8647382259368896,0.71875
val,0.6634959653019905,0.75
val,0.6441249996423721,0.8125
val,0.7481769621372223,0.78125
val,0.7135072723031044,0.75
val,0.7361976429820061,0.75
val,0.7601290419697762,0.71875
val,0.6059628501534462,0.8125
val,0.6530230864882469,0.8125
val,0.7321993410587311,0.75
val,0.6951476410031319,0.75
val,0.6722960099577904,0.78125
val,0.713400486856699,0.75
val,0.8571201413869858,0.71875
val,0.8497530370950699,0.71875
val,0.7866206765174866,0.78125
