no,time,open,high,low,close,volume,ticker
1,2022-01-04,19530,19530,19230,19310,4555000,ACB
2,2022-01-05,19280,19280,18890,18920,5934500,ACB
3,2022-01-06,18800,19080,18580,18940,5673700,ACB
4,2022-01-07,19030,19060,18690,18690,3323800,ACB
5,2022-01-10,18520,18750,18500,18520,5693200,ACB
6,2022-01-11,18520,18550,18360,18380,6395100,ACB
7,2022-01-12,18360,18830,18270,18580,7789000,ACB
8,2022-01-13,18890,19230,18610,18720,6511900,ACB
9,2022-01-14,18720,18780,18520,18550,1941100,ACB
10,2022-01-17,18580,18890,18380,18380,7284700,ACB
11,2022-01-18,18380,18550,18130,18410,4272600,ACB
12,2022-01-19,18410,18690,18410,18520,2104000,ACB
13,2022-01-20,18520,18610,18360,18500,3415900,ACB
14,2022-01-21,18500,19080,18470,18780,4404000,ACB
15,2022-01-24,18800,19590,18800,19280,13185100,ACB
16,2022-01-25,19280,19670,19280,19560,4282700,ACB
17,2022-01-26,19650,20180,19650,19900,8494500,ACB
18,2022-01-27,19870,19870,19390,19590,6064400,ACB
19,2022-01-28,19590,19650,19310,19390,10258100,ACB
20,2022-02-07,19650,19730,19450,19480,4548000,ACB
21,2022-02-08,19480,20210,19480,20070,32461200,ACB
22,2022-02-09,20150,20180,19930,19980,10149700,ACB
23,2022-02-10,19980,20100,19840,19950,7632500,ACB
24,2022-02-11,19820,20400,19790,20040,9575200,ACB
25,2022-02-14,19870,19980,19080,19080,13153200,ACB
26,2022-02-15,19110,19370,19080,19370,6631900,ACB
27,2022-02-16,19480,19480,19080,19200,5099500,ACB
28,2022-02-17,19170,19340,19140,19250,3913100,ACB
29,2022-02-18,19140,19230,18920,19000,7318400,ACB
30,2022-02-21,19030,19310,18830,19310,7285100,ACB
31,2022-02-22,19080,19480,18860,19480,8094700,ACB
32,2022-02-23,19530,19700,19420,19420,5857600,ACB
33,2022-02-24,19280,19420,18780,19340,8892700,ACB
34,2022-02-25,19370,19510,19250,19280,5508400,ACB
35,2022-02-28,19250,19280,19030,19030,3857100,ACB
36,2022-03-01,19080,19080,18830,19000,5610900,ACB
37,2022-03-02,18920,19080,18470,18470,13881600,ACB
38,2022-03-03,18520,18780,18470,18780,8167100,ACB
39,2022-03-04,18750,19250,18520,19250,6925100,ACB
40,2022-03-07,18800,18970,18610,18660,4694500,ACB
41,2022-03-08,18520,18640,18270,18300,7221800,ACB
42,2022-03-09,18380,18500,18190,18360,4172000,ACB
43,2022-03-10,18520,18750,18470,18470,2199800,ACB
44,2022-03-11,18410,18500,18300,18360,2714900,ACB
45,2022-03-14,18240,18410,18220,18360,2724900,ACB
46,2022-03-15,18410,18610,18360,18410,2750200,ACB
47,2022-03-16,18470,18550,18330,18410,3294200,ACB
48,2022-03-17,18500,18520,18330,18410,2620300,ACB
49,2022-03-18,18520,18580,18410,18410,2597000,ACB
50,2022-03-21,18470,18520,18360,18500,3302500,ACB
51,2022-03-22,18520,18750,18520,18690,3324000,ACB
52,2022-03-23,18640,18750,18610,18640,2060000,ACB
53,2022-03-24,18550,18640,18440,18470,2873100,ACB
54,2022-03-25,18470,18610,18360,18360,3338200,ACB
55,2022-03-28,18360,18410,18130,18160,4875800,ACB
56,2022-03-29,18220,18330,18130,18160,3664900,ACB
