no,time,open,high,low,close,volume,ticker
0,2024-01-02,20120,20790,20120,20540,13896933,ACB
1,2024-01-03,20580,21000,20370,21000,9817807,ACB
2,2024-01-04,21170,21550,21080,21250,23605373,ACB
3,2024-01-05,21250,21380,21040,21380,9282598,ACB
4,2024-01-08,21590,21630,21170,21290,12398885,ACB
5,2024-01-09,21210,21290,20960,21000,15455964,ACB
6,2024-01-10,21170,21420,21000,21210,17610661,ACB
7,2024-01-11,21340,21630,21130,21210,9941849,ACB
8,2024-01-12,21130,22010,21040,21670,25574880,ACB
9,2024-01-15,21840,21840,21250,21250,11725544,ACB
10,2024-01-16,21340,21460,21040,21340,12385822,ACB
11,2024-01-17,21380,21670,21290,21340,9720759,ACB
12,2024-01-18,21380,21630,21290,21500,9616784,ACB
13,2024-01-19,21670,21800,21550,21800,12778025,ACB
14,2024-01-22,22010,22090,21670,22090,12010820,ACB
15,2024-01-23,22050,22220,21880,21880,11738886,ACB
16,2024-01-24,21880,21920,21590,21670,11347376,ACB
17,2024-01-25,21710,21760,21500,21670,5090360,ACB
18,2024-01-26,21710,22180,21710,22090,6861782,ACB
19,2024-01-29,22260,22260,21800,21800,9281301,ACB
20,2024-01-30,21880,22010,21760,21800,6383741,ACB
21,2024-01-31,21920,21920,21460,21630,12162755,ACB
22,2024-02-01,21590,21920,21590,21840,6284328,ACB
23,2024-02-02,21800,22090,21710,22050,14534871,ACB
24,2024-02-05,22050,23520,21970,23350,28138723,ACB
25,2024-02-06,23390,23440,23230,23390,5454327,ACB
26,2024-02-07,23390,23690,23390,23520,11903453,ACB
27,2024-02-15,23560,23860,22850,22850,14255094,ACB
28,2024-02-16,23100,23180,22930,23180,9502568,ACB
29,2024-02-19,23270,23270,22850,23270,11864502,ACB
30,2024-02-20,23100,23310,22970,23140,7321603,ACB
31,2024-02-21,23100,23440,23020,23270,10257725,ACB
32,2024-02-22,23270,23310,23100,23230,7407861,ACB
33,2024-02-23,23270,23860,22930,22930,25987605,ACB
34,2024-02-26,22930,23270,22760,23100,9791428,ACB
35,2024-02-27,23270,23270,22970,23180,12061563,ACB
36,2024-02-28,23230,23520,23140,23520,10465608,ACB
37,2024-02-29,23600,23730,23270,23520,9960379,ACB
38,2024-03-01,23520,23520,23140,23350,10201609,ACB
39,2024-03-04,23350,23690,23020,23350,13224034,ACB
40,2024-03-05,23350,23520,23140,23480,6339771,ACB
41,2024-03-06,23520,23650,23140,23180,9799350,ACB
42,2024-03-07,23180,23270,23020,23100,10171157,ACB
43,2024-03-08,23100,23230,22680,22720,23024715,ACB
44,2024-03-11,22720,22760,22390,22470,12023089,ACB
45,2024-03-12,22390,22550,22340,22470,8318885,ACB
46,2024-03-13,22470,23230,22470,23230,8940425,ACB
47,2024-03-14,23180,23180,22720,22890,8232737,ACB
48,2024-03-15,22890,23020,22680,22970,7828640,ACB
49,2024-03-18,22850,22970,22430,22600,14127772,ACB
50,2024-03-19,22510,22720,22470,22550,7125247,ACB
51,2024-03-20,22550,23270,22510,23100,14010312,ACB
52,2024-03-21,23270,23520,23140,23520,12824070,ACB
53,2024-03-22,23730,24320,23440,23650,22688584,ACB
54,2024-03-25,23560,23560,23100,23100,10196791,ACB
55,2024-03-26,23180,23480,22970,23480,6287467,ACB
56,2024-03-27,23480,23560,23180,23520,5962845,ACB
57,2024-03-28,23770,24020,23690,23810,12429800,ACB
58,2024-03-29,23860,24070,23650,23940,13496333,ACB
59,2024-04-01,23690,23940,23600,23900,6180472,ACB
60,2024-04-02,23770,23860,23440,23860,10414778,ACB
61,2024-04-03,23690,23860,23440,23520,10205483,ACB
62,2024-04-04,23560,23560,23140,23140,11161719,ACB
63,2024-04-05,22930,23020,22760,22810,12293515,ACB
64,2024-04-08,22810,22890,22640,22810,6874403,ACB
65,2024-04-09,22810,22930,22720,22930,5374934,ACB
66,2024-04-10,23060,23180,22760,22760,5127160,ACB
67,2024-04-11,22680,22810,22600,22810,11290085,ACB
68,2024-04-12,22850,23520,22680,23520,9772642,ACB
69,2024-04-15,23350,23520,22550,22550,16263243,ACB
70,2024-04-16,22550,22810,22470,22810,17356891,ACB
71,2024-04-17,22850,22890,22470,22470,10485319,ACB
72,2024-04-19,22340,22510,22220,22340,10866833,ACB
73,2024-04-22,22600,22640,22430,22510,6317643,ACB
74,2024-04-23,22510,22640,22300,22390,8544832,ACB
75,2024-04-24,22510,22760,22430,22720,6684776,ACB
76,2024-04-25,22680,22720,22470,22510,5144590,ACB
77,2024-04-26,22510,22680,22340,22550,5446804,ACB
78,2024-05-02,22550,22810,22510,22680,4801959,ACB
79,2024-05-03,22760,23100,22760,23100,8722742,ACB
80,2024-05-06,23100,23270,22970,23180,7449978,ACB
81,2024-05-07,23310,23350,23100,23230,4305048,ACB
82,2024-05-08,23100,23230,22930,23140,4040821,ACB
83,2024-05-09,23180,23350,23100,23180,4105414,ACB
84,2024-05-10,23180,23270,23060,23270,4913057,ACB
85,2024-05-13,23520,23520,23230,23270,5555670,ACB
86,2024-05-14,23270,23440,23230,23310,4474265,ACB
87,2024-05-15,23390,23390,23270,23270,7807457,ACB
88,2024-05-16,23520,23860,23350,23730,30211993,ACB
89,2024-05-17,23730,23860,23690,23730,8509864,ACB
90,2024-05-20,23940,23980,23690,23730,9339952,ACB
91,2024-05-21,23730,23770,23390,23690,10828854,ACB
92,2024-05-22,23690,23730,23440,23480,9288338,ACB
93,2024-05-23,23520,23940,23520,23900,10454272,ACB
94,2024-05-24,23900,25370,23730,24570,33867112,ACB
95,2024-05-27,24780,25070,24570,24740,7541858,ACB
96,2024-05-28,24950,24950,24610,24910,10694176,ACB
97,2024-05-29,24950,24990,24570,24570,13456310,ACB
98,2024-05-30,24490,24700,24230,24700,13118384,ACB
99,2024-05-31,25000,25300,24650,24650,11139289,ACB
100,2024-06-03,24850,24950,24600,24800,16257238,ACB
101,2024-06-04,24800,24800,24450,24500,9735560,ACB
102,2024-06-05,24750,24750,24300,24350,10801981,ACB
103,2024-06-06,24400,24500,24300,24350,8033240,ACB
104,2024-06-07,24550,24650,24300,24600,5892570,ACB
105,2024-06-10,24600,24700,24300,24400,7679882,ACB
