no,time,open,high,low,close,volume,ticker
0,2021-01-04,12820,12960,12800,12860,10776300,ACB
1,2021-01-05,12840,13290,12710,13180,18693900,ACB
2,2021-01-06,13340,13740,13160,13430,15883900,ACB
3,2021-01-07,13450,13470,13290,13430,11636100,ACB
4,2021-01-08,13450,13650,13380,13560,15519300,ACB
5,2021-01-11,13700,13880,13540,13630,9821800,ACB
6,2021-01-12,13580,13610,13450,13520,9277600,ACB
7,2021-01-13,13610,13630,13340,13400,9915300,ACB
8,2021-01-14,13430,13430,13110,13400,8491200,ACB
9,2021-01-15,13470,13650,13450,13580,8184100,ACB
10,2021-01-18,13630,13700,13430,13450,8419100,ACB
11,2021-01-19,13380,13430,12530,12530,13077400,ACB
12,2021-01-20,12570,12710,11810,12710,12323000,ACB
13,2021-01-21,12960,13070,12730,13000,6535000,ACB
14,2021-01-22,12980,13070,12800,12860,5438100,ACB
15,2021-01-25,12710,12800,12600,12620,7683600,ACB
16,2021-01-26,12600,12860,12350,12480,8096200,ACB
17,2021-01-27,12480,12730,12210,12350,6387700,ACB
18,2021-01-28,11680,11990,11500,11500,15154800,ACB
19,2021-01-29,11000,12080,11000,12040,7621200,ACB
20,2021-02-01,12040,12300,11810,11970,7528200,ACB
21,2021-02-02,11970,12300,11830,12280,6544600,ACB
22,2021-02-03,12280,12660,12210,12620,7054500,ACB
23,2021-02-04,12620,12660,12480,12660,4250800,ACB
24,2021-02-05,12660,12860,12640,12800,5610600,ACB
25,2021-02-08,12800,12910,12210,12350,5755400,ACB
26,2021-02-09,12350,12820,12260,12820,5954800,ACB
27,2021-02-17,12930,13250,12890,13200,6855800,ACB
28,2021-02-18,13200,13220,12930,13090,5547900,ACB
29,2021-02-19,13020,13990,12980,13970,31184200,ACB
30,2021-02-22,14120,14460,13970,14190,12587300,ACB
31,2021-02-23,14300,14480,14120,14240,13951000,ACB
32,2021-02-24,14240,14300,13920,14010,18685200,ACB
33,2021-02-25,14140,14570,13970,14550,15014200,ACB
34,2021-02-26,14320,14980,14320,14840,13071400,ACB
35,2021-03-01,15000,15020,14770,14930,8464900,ACB
36,2021-03-02,15000,15020,14730,14820,9574100,ACB
37,2021-03-03,14770,15020,14680,14930,9072300,ACB
38,2021-03-04,15000,15000,14390,14550,9814000,ACB
39,2021-03-05,14420,14640,14190,14570,10157000,ACB
40,2021-03-08,14590,14680,14170,14280,16047000,ACB
41,2021-03-09,14100,14500,13970,14390,8819900,ACB
42,2021-03-10,14420,14910,14320,14710,12152700,ACB
43,2021-03-11,14820,14860,14710,14820,7124300,ACB
44,2021-03-12,14820,14840,14660,14800,5195500,ACB
45,2021-03-15,14820,15200,14640,15040,18052500,ACB
46,2021-03-16,15000,15130,14840,15020,6112900,ACB
47,2021-03-17,15000,15070,14910,15040,6246400,ACB
48,2021-03-18,15220,15380,15040,15240,10281900,ACB
49,2021-03-19,15220,15360,15130,15180,7108900,ACB
50,2021-03-22,15290,15310,14980,15000,8706000,ACB
51,2021-03-23,15070,15070,14730,14820,10347000,ACB
52,2021-03-24,14550,14710,14390,14570,9941600,ACB
53,2021-03-25,14590,14640,14320,14390,8322000,ACB
54,2021-03-26,14370,14570,14080,14570,7931700,ACB
55,2021-03-29,14770,14860,14550,14820,6981300,ACB
56,2021-03-30,14860,15040,14710,14950,8053200,ACB
57,2021-03-31,15040,15180,14930,14950,4986100,ACB
58,2021-04-01,15020,15200,14950,15200,10439300,ACB
59,2021-04-02,15360,15720,15270,15560,13979400,ACB
60,2021-04-05,15760,15850,15540,15600,7433500,ACB
61,2021-04-06,15580,15700,15340,15600,7565000,ACB
62,2021-04-07,15490,15580,15400,15450,6400900,ACB
63,2021-04-08,15420,15580,15360,15450,4687900,ACB
64,2021-04-09,15420,15540,15360,15450,5401500,ACB
65,2021-04-12,15540,15810,15470,15780,12513500,ACB
66,2021-04-13,15870,15940,15450,15540,8736000,ACB
67,2021-04-14,15400,15600,15340,15540,5073300,ACB
68,2021-04-15,15560,15580,15180,15200,9686700,ACB
69,2021-04-16,15180,15290,14680,14860,8403400,ACB
70,2021-04-19,15040,15160,14730,15130,4291900,ACB
71,2021-04-20,15270,15450,14910,15090,7166900,ACB
72,2021-04-22,15040,15090,14590,14590,7843500,ACB
73,2021-04-23,14550,15020,14420,15000,6687700,ACB
74,2021-04-26,15000,15000,14640,14950,7119100,ACB
75,2021-04-27,14820,15270,14660,15270,6393000,ACB
76,2021-04-28,15040,15400,15000,15180,5675200,ACB
77,2021-04-29,15180,15560,15090,15560,16646300,ACB
78,2021-05-04,15270,15600,15040,15470,9333200,ACB
79,2021-05-05,15540,16100,15540,15850,17558400,ACB
80,2021-05-06,15850,15870,15560,15630,7783800,ACB
81,2021-05-07,15490,15900,15490,15810,12059100,ACB
82,2021-05-10,15830,16320,15810,16260,13491300,ACB
83,2021-05-11,16350,16350,16079,16079,9777000,ACB
84,2021-05-12,15960,16230,15900,16230,8991300,ACB
85,2021-05-13,16079,16590,16030,16260,11724300,ACB
86,2021-05-14,16350,16480,16190,16370,6118400,ACB
87,2021-05-17,16610,16700,16370,16410,9278700,ACB
88,2021-05-18,16430,16430,16120,16280,7881100,ACB
89,2021-05-19,16260,16480,16120,16430,8143500,ACB
90,2021-05-20,16430,16840,16430,16800,12263200,ACB
91,2021-05-21,16800,17200,16750,16840,9146500,ACB
92,2021-05-24,17000,17000,16730,16840,7546600,ACB
93,2021-05-25,16840,17180,16750,17060,8757400,ACB
94,2021-05-26,17090,17360,17090,17270,9976000,ACB
95,2021-05-27,17290,17580,17020,17150,9551700,ACB
96,2021-05-28,17180,17470,17090,17470,9416000,ACB
97,2021-05-31,17740,18610,17510,18590,16030300,ACB
98,2021-06-01,19080,19260,18860,18900,11159800,ACB
99,2021-06-02,19150,20030,19080,20030,16009600,ACB
100,2021-06-03,20790,20790,20030,20610,12265700,ACB
101,2021-06-04,20210,20610,20210,20340,9488100,ACB
102,2021-06-07,20160,20160,18970,19310,18505000,ACB
103,2021-06-08,19110,19490,18050,18050,14322800,ACB
104,2021-06-09,18050,19130,17960,19060,12565100,ACB
105,2021-06-10,19370,19840,19140,19140,14000300,ACB
106,2021-06-11,19310,19700,18970,19450,9532300,ACB
107,2021-06-14,19450,19590,19000,19140,10946100,ACB
108,2021-06-15,19140,20320,18800,19840,18178200,ACB
109,2021-06-16,19840,19900,19370,19480,8211200,ACB
110,2021-06-17,19080,19650,18920,19590,6392600,ACB
111,2021-06-18,19760,19930,19590,19650,9215200,ACB
112,2021-06-21,19590,19760,19450,19510,5447600,ACB
113,2021-06-22,19760,20210,19560,20010,14872000,ACB
114,2021-06-23,20150,20430,20040,20100,10244600,ACB
115,2021-06-24,20210,20460,19980,20320,11494200,ACB
116,2021-06-25,20320,20540,20240,20400,7934000,ACB
117,2021-06-28,20600,20660,20380,20600,7937700,ACB
118,2021-06-29,20710,20740,20460,20460,6677700,ACB
119,2021-06-30,20400,20490,19980,20040,9628000,ACB
120,2021-07-01,19950,20320,19700,20180,10393200,ACB
121,2021-07-02,20380,20430,20210,20260,6407100,ACB
122,2021-07-05,20380,21390,20150,21300,16668600,ACB
123,2021-07-06,21330,21440,20210,20210,10070000,ACB
124,2021-07-07,20210,20710,19700,20520,10121600,ACB
125,2021-07-08,20520,20880,20210,20320,7351900,ACB
126,2021-07-09,20210,20540,19080,19760,11315400,ACB
127,2021-07-12,19370,19510,18380,18380,18353700,ACB
128,2021-07-13,18690,18690,18130,18470,6672200,ACB
129,2021-07-14,18470,18520,17460,17820,10810500,ACB
130,2021-07-15,17620,18500,17600,18380,5095400,ACB
131,2021-07-16,18610,18860,18410,18860,5918800,ACB
132,2021-07-19,18470,18610,17930,18050,10019200,ACB
133,2021-07-20,18240,19030,17960,19030,8563400,ACB
134,2021-07-21,19110,19370,18940,18970,8179300,ACB
135,2021-07-22,18970,19310,18640,19140,7161900,ACB
136,2021-07-23,19030,19170,18520,18520,7433000,ACB
137,2021-07-26,18300,18580,17990,18360,7528400,ACB
138,2021-07-27,18550,18800,18520,18610,5634700,ACB
139,2021-07-28,18640,18860,18550,18610,4846400,ACB
140,2021-07-29,18780,19200,18690,19170,7638000,ACB
141,2021-07-30,19250,20290,19250,20290,35156000,ACB
142,2021-08-02,19930,20210,19840,19950,8646400,ACB
143,2021-08-03,19900,20100,19650,20100,8766300,ACB
144,2021-08-04,20210,20210,19820,19930,8466500,ACB
145,2021-08-05,19840,20260,19820,20210,13787200,ACB
146,2021-08-06,20260,20290,19900,19950,8620800,ACB
147,2021-08-09,19870,20680,19730,20490,19240200,ACB
148,2021-08-10,20660,20680,20320,20490,10457700,ACB
149,2021-08-11,20490,20630,20210,20210,16492300,ACB
150,2021-08-12,20100,20210,19820,19820,12147100,ACB
151,2021-08-13,19760,19900,19250,19840,15125200,ACB
152,2021-08-16,19840,20210,19530,20040,12056700,ACB
153,2021-08-17,20210,20320,19870,19980,8743100,ACB
154,2021-08-18,19900,20100,19820,19950,7096100,ACB
155,2021-08-19,19930,19950,19620,19820,9370500,ACB
156,2021-08-20,19820,19840,18550,18860,20952900,ACB
157,2021-08-23,18800,18860,17960,17960,15602700,ACB
158,2021-08-24,17960,18240,17790,18130,9084200,ACB
159,2021-08-25,18080,18240,17910,18220,4865700,ACB
160,2021-08-26,18270,18300,17850,17930,4944800,ACB
161,2021-08-27,17790,17880,17290,17820,8069600,ACB
162,2021-08-30,17850,18190,17740,18050,8029600,ACB
163,2021-08-31,18240,18300,17960,17960,5528600,ACB
164,2021-09-01,17960,18380,17930,17960,8715300,ACB
165,2021-09-06,18080,18130,17930,17990,7383200,ACB
166,2021-09-07,18190,18380,18080,18240,7963700,ACB
167,2021-09-08,18240,18380,18020,18050,4752900,ACB
168,2021-09-09,17960,18220,17930,18220,3431900,ACB
169,2021-09-10,18240,18270,18100,18130,4101100,ACB
170,2021-09-13,18130,18130,17910,17910,5199800,ACB
171,2021-09-14,17880,17960,17680,17680,4511400,ACB
172,2021-09-15,17680,17680,17480,17510,4979200,ACB
173,2021-09-16,17540,17710,17510,17570,3455500,ACB
174,2021-09-17,17740,17850,17600,17740,4572300,ACB
175,2021-09-20,17960,18130,17880,18020,6387800,ACB
176,2021-09-21,17850,17960,17650,17850,3882100,ACB
177,2021-09-22,17850,17960,17740,17740,2681700,ACB
178,2021-09-23,17790,17850,17680,17740,4210800,ACB
179,2021-09-24,17850,18050,17740,17960,6688700,ACB
180,2021-09-27,18080,18190,17680,17680,4801300,ACB
181,2021-09-28,17680,17820,17620,17740,2517400,ACB
182,2021-09-29,17740,17790,17480,17600,3615100,ACB
183,2021-09-30,17600,17740,17570,17710,4394800,ACB
184,2021-10-01,17680,17710,17460,17680,6441900,ACB
185,2021-10-04,17570,17620,17180,17400,5659000,ACB
186,2021-10-05,17400,17680,17400,17680,2912300,ACB
187,2021-10-06,17710,17770,17460,17600,3321300,ACB
188,2021-10-07,17680,17680,17510,17510,2161800,ACB
189,2021-10-08,17620,17710,17540,17650,3480900,ACB
190,2021-10-11,17740,18300,17740,18300,6684100,ACB
191,2021-10-12,18470,18470,18190,18300,3385300,ACB
192,2021-10-13,18300,18470,18240,18300,3709300,ACB
193,2021-10-14,18300,18360,18080,18130,4521600,ACB
194,2021-10-15,18240,18270,18020,18080,2976800,ACB
195,2021-10-18,18160,18300,17960,17960,4543400,ACB
196,2021-10-19,18190,18190,17910,18130,3615400,ACB
197,2021-10-20,18130,18330,17850,18130,3846400,ACB
198,2021-10-21,18130,18130,17820,17820,4132200,ACB
199,2021-10-22,17910,17930,17650,17740,3827100,ACB
200,2021-10-25,17790,17790,17460,17540,5200400,ACB
201,2021-10-26,17540,17540,17290,17460,5259100,ACB
202,2021-10-27,17480,17850,17480,17620,5828200,ACB
203,2021-10-28,17770,17880,17680,17880,4649100,ACB
204,2021-10-29,17880,18520,17820,18520,13597100,ACB
205,2021-11-01,18410,18470,18190,18360,5293300,ACB
206,2021-11-02,18360,18610,18270,18610,7009200,ACB
207,2021-11-03,18690,19140,18660,19000,13060100,ACB
208,2021-11-04,19110,19110,18780,18800,4197400,ACB
209,2021-11-05,18970,18970,18690,18800,3967400,ACB
210,2021-11-08,18800,18890,18640,18750,5385300,ACB
211,2021-11-09,18750,18970,18720,18780,5047900,ACB
212,2021-11-10,18800,18830,18610,18750,4367400,ACB
213,2021-11-11,18690,18830,18240,18520,7129400,ACB
214,2021-11-12,18520,18720,18330,18720,4376100,ACB
215,2021-11-15,18750,18860,18660,18750,4878900,ACB
216,2021-11-16,18720,18750,18410,18610,5211500,ACB
217,2021-11-17,18610,18800,18410,18690,4360500,ACB
218,2021-11-18,18800,18800,18240,18240,5497600,ACB
219,2021-11-19,18360,19030,18270,18780,9794000,ACB
220,2021-11-22,18800,19530,18520,19170,9151000,ACB
221,2021-11-23,19230,19250,18920,19060,3839600,ACB
222,2021-11-24,19030,19900,18940,19840,14295800,ACB
223,2021-11-25,19930,19950,19620,19730,7083400,ACB
224,2021-11-26,19730,19820,19420,19420,6209000,ACB
225,2021-11-29,18970,19250,18970,19170,6095500,ACB
226,2021-11-30,19310,19370,18640,18690,6145400,ACB
227,2021-12-01,18580,18800,18550,18800,3620400,ACB
228,2021-12-02,18860,18860,18640,18640,2645000,ACB
229,2021-12-03,18750,18830,18270,18270,4916300,ACB
230,2021-12-06,18130,18410,17770,18130,6499000,ACB
231,2021-12-07,18240,18500,18020,18500,2827600,ACB
232,2021-12-08,18330,18750,18270,18580,2900500,ACB
233,2021-12-09,18520,18690,18410,18690,2156000,ACB
234,2021-12-10,18640,18860,18580,18750,4730500,ACB
235,2021-12-13,18830,18970,18690,18750,3012700,ACB
236,2021-12-14,18690,18800,18580,18690,2128100,ACB
237,2021-12-15,18580,18830,18550,18750,2122900,ACB
238,2021-12-16,18800,18830,18520,18520,2305800,ACB
239,2021-12-17,18610,18690,18550,18640,2403500,ACB
240,2021-12-20,18640,18690,18440,18580,3296100,ACB
241,2021-12-21,18500,18500,18410,18410,2420400,ACB
242,2021-12-22,18330,18500,18330,18360,3385200,ACB
243,2021-12-23,18300,18330,17960,18240,4135300,ACB
244,2021-12-24,18240,18610,18080,18520,4372600,ACB
245,2021-12-27,18690,18690,18470,18610,2459500,ACB
246,2021-12-28,18610,18940,18550,18890,3477400,ACB
247,2021-12-29,19000,19200,18920,18970,3817200,ACB
248,2021-12-30,18920,19080,18800,19030,1819600,ACB
249,2021-12-31,19080,19390,19080,19370,5651800,ACB
