no,time,open,high,low,close,volume,ticker
1,2023-01-03,15440,15930,15400,15930,1550148,ACB
2,2023-01-04,16030,16030,15820,15890,1643309,ACB
3,2023-01-05,15960,16140,15890,16030,2107285,ACB
4,2023-01-06,16000,16379,15860,16239,3407310,ACB
5,2023-01-09,16379,16379,16100,16210,1748795,ACB
6,2023-01-10,16309,16450,16100,16450,3062873,ACB
7,2023-01-11,16560,17160,16450,16980,5342324,ACB
8,2023-01-12,16980,17300,16980,17190,2883106,ACB
9,2023-01-13,17260,17400,16940,16940,2156614,ACB
10,2023-01-16,16940,17540,16940,17540,3541375,ACB
11,2023-01-17,17580,17860,17510,17750,3988618,ACB
12,2023-01-18,17750,18030,17610,17890,5439101,ACB
13,2023-01-19,17890,18240,17860,18240,5525817,ACB
14,2023-01-27,18490,18590,18170,18490,3758988,ACB
15,2023-01-30,18450,18490,17820,17820,5403319,ACB
16,2023-01-31,17820,18280,17540,18280,3485014,ACB
17,2023-02-01,18310,18420,17610,17680,3485902,ACB
18,2023-02-02,17650,17960,17400,17540,2886290,ACB
19,2023-02-03,17540,17720,17120,17190,9534382,ACB
20,2023-02-06,17120,17650,16940,17470,2397652,ACB
21,2023-02-07,17540,17610,17120,17260,2471469,ACB
22,2023-02-08,17400,17580,17230,17300,1924125,ACB
23,2023-02-09,17300,17610,17190,17190,3227424,ACB
24,2023-02-10,17260,17370,16980,16980,2009129,ACB
25,2023-02-13,16940,16940,16700,16770,2593039,ACB
26,2023-02-14,16910,16910,16700,16730,1439656,ACB
27,2023-02-15,16770,17300,16660,17230,3332041,ACB
28,2023-02-16,17400,17400,17120,17400,1625191,ACB
29,2023-02-17,17440,17510,17230,17400,1716200,ACB
30,2023-02-20,17330,18100,17300,18100,4907140,ACB
31,2023-02-21,18100,18240,17890,17890,1720729,ACB
32,2023-02-22,17680,17930,17440,17440,2654851,ACB
33,2023-02-23,17370,17890,17020,17820,3862411,ACB
34,2023-02-24,17540,17750,17230,17260,2228733,ACB
35,2023-02-27,17190,17260,16910,17020,3109431,ACB
36,2023-02-28,17190,17370,17020,17120,6149990,ACB
37,2023-03-01,17120,17680,16980,17650,2538293,ACB
38,2023-03-02,17540,17860,17540,17580,3339027,ACB
39,2023-03-03,17580,17750,17190,17190,2397060,ACB
40,2023-03-06,17440,17610,17050,17050,5225765,ACB
41,2023-03-07,17370,17540,17050,17190,4642941,ACB
42,2023-03-08,17020,17540,17020,17540,2786167,ACB
43,2023-03-09,17540,17860,17470,17790,3739916,ACB
44,2023-03-10,17580,17680,17370,17470,2423166,ACB
45,2023-03-13,17370,17510,17080,17190,4018921,ACB
46,2023-03-14,17230,17330,16800,16880,6767237,ACB
47,2023-03-15,17260,17400,17160,17400,1961634,ACB
48,2023-03-16,17190,17370,16940,17120,2499671,ACB
49,2023-03-17,17230,17300,17080,17080,1249647,ACB
50,2023-03-20,16980,17080,16840,16840,2457593,ACB
51,2023-03-21,17120,17120,16730,16980,1489101,ACB
52,2023-03-22,17080,17080,16880,16940,1862058,ACB
53,2023-03-23,16910,17260,16800,17190,7080550,ACB
54,2023-03-24,17260,17440,17190,17230,1683172,ACB
55,2023-03-27,17260,17370,17080,17160,2460164,ACB
56,2023-03-28,17300,17400,17160,17160,8288106,ACB
57,2023-03-29,17190,17260,17080,17120,15181219,ACB
58,2023-03-30,17260,17330,17230,17260,2122444,ACB
59,2023-03-31,17330,17720,17300,17540,5883708,ACB
60,2023-04-03,17720,17820,17540,17720,9968747,ACB
61,2023-04-04,17720,17790,17580,17650,7190534,ACB
62,2023-04-05,17610,17750,17580,17750,3320551,ACB
63,2023-04-06,17820,17860,17470,17470,4333371,ACB
64,2023-04-07,17510,17610,17470,17580,3144826,ACB
65,2023-04-10,17610,17650,17440,17540,3638803,ACB
66,2023-04-11,17470,17580,17330,17510,1598533,ACB
67,2023-04-12,17540,17580,17400,17440,3221563,ACB
68,2023-04-13,17510,17580,17440,17510,2520241,ACB
69,2023-04-14,17580,17610,17440,17510,5022906,ACB
70,2023-04-17,17510,17540,17400,17540,1649827,ACB
71,2023-04-18,17540,17540,17370,17370,2104707,ACB
72,2023-04-19,17400,17400,17120,17120,4596866,ACB
73,2023-04-20,17190,17230,16980,17020,2471896,ACB
74,2023-04-21,17050,17120,17020,17020,2473711,ACB
75,2023-04-24,17050,17160,16910,16980,2274897,ACB
76,2023-04-25,17050,17160,16910,16940,6174679,ACB
77,2023-04-26,16940,16980,16800,16940,3857901,ACB
78,2023-04-27,16980,17160,16910,16940,2182535,ACB
79,2023-04-28,16980,17120,16940,16980,9771508,ACB
80,2023-05-04,17050,17370,17050,17330,4305729,ACB
81,2023-05-05,17190,17370,17190,17300,2625328,ACB
82,2023-05-08,17300,17540,17260,17510,2305309,ACB
83,2023-05-09,17540,17580,17400,17470,3108187,ACB
84,2023-05-10,17470,17510,17400,17470,1961379,ACB
85,2023-05-11,17540,17610,17400,17470,2556201,ACB
86,2023-05-12,17540,17580,17400,17540,2348036,ACB
87,2023-05-15,17680,17750,17510,17540,6385662,ACB
88,2023-05-16,17540,17580,17470,17540,1463588,ACB
89,2023-05-17,17540,17650,17440,17470,3449491,ACB
90,2023-05-18,17470,17610,17440,17540,3353042,ACB
91,2023-05-19,17580,17580,17370,17510,4008117,ACB
92,2023-05-22,17540,17580,17470,17580,4585906,ACB
93,2023-05-23,17680,17960,17540,17790,21726379,ACB
94,2023-05-24,17890,17890,17510,17650,11051426,ACB
95,2023-05-25,17680,17680,17470,17610,8792333,ACB
96,2023-05-26,17680,17680,17510,17540,8563241,ACB
97,2023-05-29,17610,17750,17540,17650,16577082,ACB
98,2023-05-30,17750,17750,17540,17680,22599203,ACB
99,2023-05-31,17680,17820,17540,17820,29156480,ACB
100,2023-06-01,18060,18270,17850,17980,12769486,ACB
101,2023-06-02,18060,18560,18020,18310,15034657,ACB
102,2023-06-05,18480,18610,18190,18270,13849317,ACB
103,2023-06-06,18310,18350,18230,18310,9945382,ACB
104,2023-06-07,18310,18480,18310,18350,9182063,ACB
105,2023-06-08,18310,18400,18140,18140,9682980,ACB
106,2023-06-09,18190,18190,17890,18100,7469378,ACB
107,2023-06-12,18190,18190,17930,18020,4291860,ACB
108,2023-06-13,18060,18140,17980,18140,7973577,ACB
109,2023-06-14,18190,18400,18140,18190,8033115,ACB
110,2023-06-15,18190,18230,18100,18230,5407844,ACB
111,2023-06-16,18230,18560,18140,18310,14414202,ACB
112,2023-06-19,18310,18350,18140,18190,4660937,ACB
113,2023-06-20,18190,18230,18060,18190,5639608,ACB
114,2023-06-21,18140,18230,18100,18230,5484088,ACB
115,2023-06-22,18270,18400,18190,18190,7976555,ACB
116,2023-06-23,18230,18400,18140,18400,11435894,ACB
117,2023-06-26,18650,18900,18480,18690,11788268,ACB
118,2023-06-27,18940,18940,18650,18650,5623455,ACB
119,2023-06-28,18650,18820,18560,18730,8233359,ACB
120,2023-06-29,18730,18820,18400,18400,8154546,ACB
121,2023-06-30,18400,18520,18310,18520,5120663,ACB
122,2023-07-03,18520,18560,18440,18520,4031764,ACB
123,2023-07-04,18440,18520,18400,18480,4348820,ACB
124,2023-07-05,18480,18560,18440,18440,8126958,ACB
125,2023-07-06,18440,18480,18190,18230,6426967,ACB
126,2023-07-07,18230,18270,18060,18230,7145078,ACB
127,2023-07-10,18270,18560,18230,18440,9036932,ACB
128,2023-07-11,18730,18730,18440,18480,8851484,ACB
129,2023-07-12,18650,18650,18310,18350,5187652,ACB
130,2023-07-13,18480,18480,18310,18480,6743968,ACB
131,2023-07-14,18520,18560,18310,18480,6901344,ACB
132,2023-07-17,18520,18520,18400,18480,6536400,ACB
133,2023-07-18,18400,18480,18350,18480,6804309,ACB
134,2023-07-19,18480,18610,18440,18480,9572664,ACB
135,2023-07-20,18480,18520,18400,18480,6295568,ACB
136,2023-07-21,18480,18560,18400,18560,6693129,ACB
137,2023-07-24,18560,18650,18440,18520,6773899,ACB
138,2023-07-25,18480,18900,18480,18730,13720647,ACB
139,2023-07-26,18730,18860,18650,18730,5979075,ACB
140,2023-07-27,18730,18770,18520,18610,7216455,ACB
141,2023-07-28,18650,18820,18520,18650,8620038,ACB
142,2023-07-31,18900,19280,18860,19280,19225216,ACB
143,2023-08-01,19530,19530,19110,19190,13724041,ACB
144,2023-08-02,19150,19450,19150,19400,12414957,ACB
145,2023-08-03,19360,19740,19320,19700,17019126,ACB
146,2023-08-04,19820,20500,19530,20500,18679690,ACB
147,2023-08-07,20120,20200,19820,19950,28102625,ACB
148,2023-08-08,19990,20080,19570,19660,15277376,ACB
149,2023-08-09,19660,19820,19450,19490,15564910,ACB
150,2023-08-10,19530,19610,19240,19240,12699456,ACB
151,2023-08-11,19280,19320,18980,19240,9164105,ACB
152,2023-08-14,19240,19360,19150,19360,10446424,ACB
153,2023-08-15,19450,19530,19190,19190,6464684,ACB
154,2023-08-16,19190,19360,19150,19240,8402525,ACB
155,2023-08-17,19280,19320,19070,19070,10125955,ACB
156,2023-08-18,19070,19070,18400,18400,20459276,ACB
157,2023-08-21,18350,18650,18350,18480,7981455,ACB
158,2023-08-22,18560,18610,18140,18520,9072597,ACB
159,2023-08-23,18650,18730,18350,18350,5548662,ACB
160,2023-08-24,18350,18690,18350,18520,5315411,ACB
161,2023-08-25,18480,18520,18350,18440,5381608,ACB
162,2023-08-28,18480,18560,18440,18520,5160556,ACB
163,2023-08-29,18520,18650,18440,18520,5778718,ACB
164,2023-08-30,18520,18900,18520,18860,7229547,ACB
165,2023-08-31,18860,18980,18860,18980,7212305,ACB
166,2023-09-05,19070,19360,19030,19110,7634395,ACB
167,2023-09-06,19110,19280,18980,19280,4783873,ACB
168,2023-09-07,19320,19450,19110,19240,9860968,ACB
169,2023-09-08,19240,19280,19070,19110,5530112,ACB
170,2023-09-11,19150,19240,18690,18770,10542303,ACB
171,2023-09-12,18770,19110,18650,19110,6685987,ACB
172,2023-09-13,19110,19150,18860,18940,6942929,ACB
173,2023-09-14,18900,19150,18820,18860,6195761,ACB
174,2023-09-15,18980,19110,18860,19030,5253147,ACB
175,2023-09-18,18980,19030,18730,18860,4366920,ACB
176,2023-09-19,18860,18980,18690,18730,8083377,ACB
177,2023-09-20,18730,18940,18690,18860,5299737,ACB
178,2023-09-21,18820,18940,18770,18820,5430115,ACB
179,2023-09-22,18650,18900,18560,18730,9796600,ACB
180,2023-09-25,18730,18770,18480,18480,7626780,ACB
181,2023-09-26,18520,18690,18350,18400,9407620,ACB
182,2023-09-27,18400,18480,18270,18480,5688210,ACB
183,2023-09-28,18350,18480,18230,18270,4993734,ACB
184,2023-09-29,18310,18520,18310,18350,2341209,ACB
185,2023-10-02,18310,18440,18230,18400,3811689,ACB
186,2023-10-03,18310,18400,18140,18140,5510811,ACB
187,2023-10-04,18100,18230,18060,18140,3180528,ACB
188,2023-10-05,18270,18440,18140,18140,3353149,ACB
189,2023-10-06,18140,18400,18100,18310,2443603,ACB
190,2023-10-09,18230,18940,18230,18900,8982117,ACB
191,2023-10-10,18900,19190,18900,19150,6539860,ACB
192,2023-10-11,19150,19150,18940,19070,2847661,ACB
193,2023-10-12,19070,19240,18900,19070,5637015,ACB
194,2023-10-13,18980,19070,18900,19030,4694272,ACB
195,2023-10-16,18940,19070,18820,18980,4222196,ACB
196,2023-10-17,18980,19030,18860,18860,3659834,ACB
197,2023-10-18,18860,18860,18520,18520,6211436,ACB
198,2023-10-19,18520,18610,18310,18310,6211641,ACB
199,2023-10-20,18310,18560,18310,18400,3672592,ACB
200,2023-10-23,18560,18560,18230,18310,2400212,ACB
201,2023-10-24,18440,18560,18310,18400,2553217,ACB
202,2023-10-25,18650,18690,18400,18400,2489008,ACB
203,2023-10-26,18270,18270,17600,17720,12596859,ACB
204,2023-10-27,18020,18230,17810,18100,3182928,ACB
205,2023-10-30,18140,18190,17890,17890,3858926,ACB
206,2023-10-31,17930,18100,17850,17980,3491977,ACB
207,2023-11-01,17980,18190,17930,18140,4835157,ACB
208,2023-11-02,18270,18730,18140,18730,5152098,ACB
209,2023-11-03,18730,18820,18520,18520,4888965,ACB
210,2023-11-06,18650,18770,18560,18650,3792021,ACB
211,2023-11-07,18560,18690,18560,18560,2328126,ACB
212,2023-11-08,18560,19240,18520,19150,7915923,ACB
213,2023-11-09,19240,19240,18940,18940,4768580,ACB
214,2023-11-10,18820,18980,18690,18820,5051311,ACB
215,2023-11-13,18860,18980,18650,18860,3418479,ACB
216,2023-11-14,18860,19240,18860,19070,10306368,ACB
217,2023-11-15,19320,19740,19280,19530,32344213,ACB
218,2023-11-16,19530,19660,19400,19570,8085873,ACB
219,2023-11-17,19660,19660,18940,19070,12355370,ACB
220,2023-11-20,18820,19280,18610,18900,10211612,ACB
221,2023-11-21,19030,19150,18900,18980,3715213,ACB
222,2023-11-22,18900,19110,18770,19070,4395703,ACB
223,2023-11-23,19070,19110,18650,18650,5185123,ACB
224,2023-11-24,18730,18730,18310,18520,7901317,ACB
225,2023-11-27,18520,18560,18350,18350,3262375,ACB
226,2023-11-28,18400,18560,18230,18400,4189072,ACB
227,2023-11-29,18480,18770,18480,18520,4831388,ACB
228,2023-11-30,18520,18730,18440,18440,5245608,ACB
229,2023-12-01,18610,18610,18270,18440,5736667,ACB
230,2023-12-04,18520,18860,18480,18730,9044705,ACB
231,2023-12-05,18730,18860,18520,18610,3560224,ACB
232,2023-12-06,18610,18730,18480,18730,2794830,ACB
233,2023-12-07,18730,18900,18650,18820,7241320,ACB
234,2023-12-08,18820,18940,18730,18820,3815334,ACB
235,2023-12-11,18860,18900,18690,18820,2277359,ACB
236,2023-12-12,18860,18900,18730,18900,3230408,ACB
237,2023-12-13,18900,18940,18730,18730,3933379,ACB
238,2023-12-14,18820,19110,18730,18900,6949441,ACB
239,2023-12-15,18980,19190,18940,19110,6195129,ACB
240,2023-12-18,19070,19150,19030,19150,6390775,ACB
241,2023-12-19,19150,19400,19150,19360,11476459,ACB
242,2023-12-20,19360,19530,19360,19490,8865596,ACB
243,2023-12-21,19490,19530,19360,19530,7087055,ACB
244,2023-12-22,19490,19570,19490,19490,4512456,ACB
245,2023-12-25,19530,19700,19490,19610,7586810,ACB
246,2023-12-26,19660,19660,19530,19530,5731233,ACB
247,2023-12-27,19490,19660,19490,19570,4869398,ACB
248,2023-12-28,19570,20120,19570,19950,10526964,ACB
249,2023-12-29,20080,20240,19990,20080,9202991,ACB
