no,time,open,high,low,close,volume,ticker
0,2012-01-05,3270,3450,3250,3330,344100,ACB
1,2012-01-05,3270,3450,3250,3330,344100,ACB
2,2012-01-06,3330,3330,3250,3270,233100,ACB
3,2012-01-09,3270,3270,3230,3250,123000,ACB
4,2012-01-10,3250,3300,3250,3270,47300,ACB
5,2012-01-11,3270,3300,3250,3270,158900,ACB
6,2012-01-12,3270,3280,3250,3270,77400,ACB
7,2012-01-13,3270,3300,3250,3270,83200,ACB
8,2012-01-16,3270,3330,3270,3300,144000,ACB
9,2012-01-17,3270,3350,3270,3330,215300,ACB
10,2012-01-18,3330,3370,3330,3350,86600,ACB
11,2012-01-19,3380,3430,3380,3420,137500,ACB
12,2012-01-20,3430,3480,3420,3430,129500,ACB
13,2012-01-30,3580,3580,3450,3480,91900,ACB
14,2012-01-31,3500,3570,3480,3550,209100,ACB
15,2012-02-01,3570,3570,3480,3520,154400,ACB
16,2012-02-02,3520,3680,3520,3600,254600,ACB
17,2012-02-03,3680,3680,3430,3580,216300,ACB
18,2012-02-06,3600,3600,3570,3580,137900,ACB
19,2012-02-07,3600,3770,3600,3740,607800,ACB
20,2012-02-08,3680,3850,3680,3820,510700,ACB
21,2012-02-09,3790,4050,3770,3950,1153700,ACB
22,2012-02-10,3950,4000,3850,3920,393700,ACB
23,2012-02-13,3900,3900,3720,3790,446900,ACB
24,2012-02-14,3720,3750,3620,3650,498500,ACB
25,2012-02-15,3650,3680,3500,3550,425300,ACB
26,2012-02-16,3550,3580,3520,3550,507500,ACB
27,2012-02-17,3570,3620,3570,3600,541000,ACB
28,2012-02-20,3620,3840,3620,3750,850100,ACB
29,2012-02-21,3940,4000,3750,3800,468700,ACB
30,2012-02-22,3800,3900,3740,3840,577700,ACB
31,2012-02-23,3870,3900,3790,3850,769300,ACB
32,2012-02-24,3850,3920,3840,3870,995200,ACB
33,2012-02-27,3850,3950,3840,3900,667700,ACB
34,2012-02-28,3990,3990,3840,3900,831500,ACB
35,2012-02-29,3850,3950,3850,3890,669400,ACB
36,2012-03-01,3940,4150,3940,4090,1927000,ACB
37,2012-03-02,4190,4370,4190,4360,2678000,ACB
38,2012-03-05,4420,4660,4420,4660,2220300,ACB
39,2012-03-06,4690,4970,4510,4690,1911800,ACB
40,2012-03-07,4520,4520,4370,4410,1469700,ACB
41,2012-03-08,4120,4340,4100,4200,1550100,ACB
42,2012-03-09,4100,4240,3990,4100,1298200,ACB
43,2012-03-12,4120,4120,3990,4019,845400,ACB
44,2012-03-13,4019,4170,4019,4100,464500,ACB
45,2012-03-14,4190,4200,4050,4100,493200,ACB
46,2012-03-15,4120,4260,4050,4150,791100,ACB
47,2012-03-16,4420,4420,4220,4290,817700,ACB
48,2012-03-19,4270,4300,4150,4200,610200,ACB
49,2012-03-20,4270,4360,4220,4290,862200,ACB
50,2012-03-21,4290,4370,4240,4340,1608000,ACB
51,2012-03-22,4360,4360,4260,4290,578600,ACB
52,2012-03-23,4290,4340,4260,4300,1402600,ACB
53,2012-03-26,4370,4390,4300,4320,1228700,ACB
54,2012-03-27,4320,4320,4190,4200,1317900,ACB
55,2012-03-28,4170,4220,4120,4190,1161200,ACB
56,2012-03-29,4220,4220,4040,4140,1103100,ACB
57,2012-03-30,4120,4150,4100,4140,784200,ACB
58,2012-04-03,4140,4200,4120,4200,321500,ACB
59,2012-04-04,4240,4240,4140,4150,309000,ACB
60,2012-04-05,4170,4240,4140,4220,427200,ACB
61,2012-04-06,4260,4270,4220,4240,948100,ACB
62,2012-04-09,4260,4270,4240,4270,674100,ACB
63,2012-04-10,4270,4270,4190,4200,513200,ACB
64,2012-04-11,4220,4320,4220,4270,743400,ACB
65,2012-04-12,4300,4470,4290,4410,2167400,ACB
66,2012-04-13,4440,4440,4320,4360,718200,ACB
67,2012-04-16,4360,4460,4320,4410,580500,ACB
68,2012-04-17,4390,4460,4360,4410,759500,ACB
69,2012-04-18,4370,4420,4300,4320,1107200,ACB
70,2012-04-19,4320,4320,4240,4260,862500,ACB
71,2012-04-20,4260,4270,4220,4260,657600,ACB
72,2012-04-23,4540,4540,4220,4300,355200,ACB
73,2012-04-24,4300,4320,4270,4300,152900,ACB
74,2012-04-25,4340,4390,4300,4320,181600,ACB
75,2012-04-26,4360,4360,4220,4270,307800,ACB
76,2012-04-27,4270,4320,4260,4320,268900,ACB
77,2012-05-02,4270,4300,4240,4260,263900,ACB
78,2012-05-03,4220,4290,4220,4240,468700,ACB
79,2012-05-04,4240,4290,4240,4290,315700,ACB
80,2012-05-07,4290,4320,4270,4300,293600,ACB
81,2012-05-08,4300,4460,4300,4360,858000,ACB
82,2012-05-09,4320,4390,4270,4340,324000,ACB
83,2012-05-10,4340,4410,4300,4320,581900,ACB
84,2012-05-11,4320,4360,4270,4290,349000,ACB
85,2012-05-14,4320,4410,4270,4290,1015200,ACB
86,2012-05-15,4290,4320,4260,4290,877400,ACB
87,2012-05-16,4290,4320,4270,4300,824500,ACB
88,2012-05-17,4290,4320,4290,4300,659100,ACB
89,2012-05-18,4290,4290,4190,4240,1051500,ACB
90,2012-05-21,4220,4340,4220,4340,244900,ACB
91,2012-05-22,4290,4360,4040,4290,242400,ACB
92,2012-05-23,4290,4300,4270,4290,556100,ACB
93,2012-05-24,4290,4300,4270,4270,609200,ACB
94,2012-05-25,4270,4340,4270,4340,203500,ACB
95,2012-05-28,4340,4360,4300,4320,172200,ACB
96,2012-05-29,4290,4340,4290,4320,233300,ACB
97,2012-05-30,4320,4340,4300,4320,56500,ACB
98,2012-05-31,4300,4320,4290,4300,441000,ACB
99,2012-06-01,4300,4320,4300,4300,81400,ACB
100,2012-06-04,4300,4320,4270,4290,425900,ACB
101,2012-06-05,4290,4320,4290,4300,253100,ACB
102,2012-06-06,4300,4340,4300,4320,92400,ACB
103,2012-06-07,4290,4340,4290,4320,53900,ACB
104,2012-06-08,4340,4360,4290,4300,126100,ACB
105,2012-06-11,4190,4320,4190,4300,166800,ACB
106,2012-06-12,4320,4320,4290,4300,210500,ACB
107,2012-06-13,4290,4320,4290,4300,289700,ACB
108,2012-06-14,4300,4320,4290,4290,294900,ACB
109,2012-06-15,4290,4300,4290,4290,180600,ACB
110,2012-06-18,4290,4340,4290,4320,129000,ACB
111,2012-06-19,4320,4340,4300,4320,402200,ACB
112,2012-06-20,4340,4340,4300,4320,339300,ACB
113,2012-06-21,4300,4340,4300,4320,711600,ACB
114,2012-06-22,4320,4320,4300,4300,568200,ACB
115,2012-06-25,4320,4320,4290,4290,283900,ACB
116,2012-06-26,4320,4320,4270,4300,725600,ACB
117,2012-06-27,4300,4320,4290,4300,560400,ACB
118,2012-06-28,4290,4320,4290,4290,622500,ACB
119,2012-06-29,4320,4320,4290,4300,1184300,ACB
120,2012-07-02,4320,4320,4290,4290,141000,ACB
121,2012-07-03,4290,4300,4290,4290,752300,ACB
122,2012-07-04,4290,4300,4290,4290,250500,ACB
123,2012-07-05,4290,4300,4290,4290,225500,ACB
124,2012-07-06,4290,4320,4290,4300,172900,ACB
125,2012-07-09,4320,4320,4270,4290,1134500,ACB
126,2012-07-10,4290,4300,4270,4290,872200,ACB
127,2012-07-11,4270,4300,4270,4290,365500,ACB
128,2012-07-12,4290,4290,4270,4290,424600,ACB
129,2012-07-13,4270,4290,4270,4270,391400,ACB
130,2012-07-16,4270,4290,4270,4290,95900,ACB
131,2012-07-17,4290,4320,4270,4320,95800,ACB
132,2012-07-18,4300,4320,4290,4300,24700,ACB
133,2012-07-19,4320,4320,4290,4300,70000,ACB
134,2012-07-20,4290,4320,4290,4300,115900,ACB
135,2012-07-23,4300,4320,4290,4300,177700,ACB
136,2012-07-24,4290,4300,4290,4290,86200,ACB
137,2012-07-25,4290,4300,4290,4290,89400,ACB
138,2012-07-26,4290,4300,4290,4300,721300,ACB
139,2012-07-27,4300,4320,4290,4300,291300,ACB
140,2012-07-30,4300,4320,4290,4300,83500,ACB
141,2012-07-31,4300,4320,4290,4300,79800,ACB
142,2012-08-01,4290,4320,4290,4300,245700,ACB
143,2012-08-02,4300,4320,4290,4300,295100,ACB
144,2012-08-03,4300,4300,4290,4300,57800,ACB
145,2012-08-06,4290,4320,4290,4320,222600,ACB
146,2012-08-07,4320,4320,4290,4290,126800,ACB
147,2012-08-08,4290,4300,4290,4300,151100,ACB
148,2012-08-09,4300,4320,4290,4320,42800,ACB
149,2012-08-10,4300,4300,4290,4300,65300,ACB
150,2012-08-13,4290,4320,4290,4300,127800,ACB
151,2012-08-14,4300,4320,4290,4300,154300,ACB
152,2012-08-15,4290,4320,4290,4320,89800,ACB
153,2012-08-16,4300,4320,4300,4300,71000,ACB
154,2012-08-17,4300,4320,4300,4320,194000,ACB
155,2012-08-20,4320,4340,4300,4340,87100,ACB
156,2012-08-21,4300,4300,4040,4040,904600,ACB
157,2012-08-22,3770,3770,3770,3770,688900,ACB
158,2012-08-23,3520,3540,3520,3520,260600,ACB
159,2012-08-24,3280,3750,3280,3640,1633900,ACB
160,2012-08-27,3650,3680,3380,3380,924300,ACB
161,2012-08-28,3270,3350,3150,3180,757900,ACB
162,2012-08-29,3100,3370,3100,3350,734900,ACB
163,2012-08-30,3430,3430,3320,3350,433300,ACB
164,2012-08-31,3350,3350,3300,3320,563300,ACB
165,2012-09-04,3320,3350,3300,3300,523200,ACB
166,2012-09-05,3420,3520,3280,3300,758800,ACB
167,2012-09-06,3320,3320,3250,3270,550800,ACB
168,2012-09-07,3270,3280,3220,3230,716500,ACB
169,2012-09-10,3230,3230,3020,3030,902000,ACB
170,2012-09-11,3180,3180,3000,3000,456200,ACB
171,2012-09-12,3020,3100,2980,2980,332700,ACB
172,2012-09-13,2980,3000,2950,2960,631500,ACB
173,2012-09-14,3000,3100,3000,3020,728300,ACB
174,2012-09-17,3030,3100,3000,3050,740500,ACB
175,2012-09-18,3050,3050,2850,2850,742700,ACB
176,2012-09-19,2680,2830,2660,2660,4103000,ACB
177,2012-09-20,2600,2660,2480,2580,1998300,ACB
178,2012-09-21,2580,2750,2580,2750,2269400,ACB
179,2012-09-24,2810,2930,2730,2880,1761000,ACB
180,2012-09-25,2830,2900,2760,2810,1092100,ACB
181,2012-09-26,2780,2810,2750,2760,665500,ACB
182,2012-09-27,2760,2810,2730,2730,455700,ACB
183,2012-09-28,2700,2800,2610,2760,883100,ACB
184,2012-10-01,2760,2760,2660,2660,1087100,ACB
185,2012-10-02,2650,2700,2630,2650,677300,ACB
186,2012-10-03,2630,2660,2630,2650,709600,ACB
187,2012-10-04,2650,2660,2630,2650,359600,ACB
188,2012-10-05,2650,2650,2610,2650,699900,ACB
189,2012-10-08,2630,2680,2610,2660,1692900,ACB
190,2012-10-09,2680,2700,2660,2680,2432500,ACB
191,2012-10-10,2680,2700,2660,2680,1987500,ACB
192,2012-10-11,2680,2780,2660,2710,2444200,ACB
193,2012-10-12,2710,2730,2700,2700,522200,ACB
194,2012-10-15,2700,2710,2660,2680,1528800,ACB
195,2012-10-16,2680,2710,2660,2710,1351800,ACB
196,2012-10-17,2710,2710,2680,2680,665600,ACB
197,2012-10-18,2700,2700,2660,2680,1191600,ACB
198,2012-10-19,2680,2700,2610,2650,1564600,ACB
199,2012-10-22,2610,2630,2480,2610,967700,ACB
200,2012-10-23,2610,2630,2600,2630,696800,ACB
201,2012-10-24,2630,2660,2600,2650,659900,ACB
202,2012-10-25,2630,2680,2630,2650,844000,ACB
203,2012-10-26,2600,2650,2560,2650,550300,ACB
204,2012-10-29,2650,2680,2630,2630,537800,ACB
205,2012-10-30,2630,2650,2600,2600,120900,ACB
206,2012-10-31,2560,2580,2510,2560,300000,ACB
207,2012-11-01,2580,2580,2530,2550,310200,ACB
208,2012-11-02,2550,2550,2400,2410,795700,ACB
209,2012-11-05,2410,2450,2380,2450,203800,ACB
210,2012-11-06,2450,2460,2430,2460,89400,ACB
211,2012-11-07,2460,2560,2450,2510,121200,ACB
212,2012-11-08,2430,2530,2430,2480,85000,ACB
213,2012-11-09,2500,2510,2480,2500,241100,ACB
214,2012-11-12,2510,2550,2500,2550,148700,ACB
215,2012-11-13,2550,2560,2510,2530,228600,ACB
216,2012-11-14,2530,2550,2510,2530,149900,ACB
217,2012-11-15,2560,2560,2480,2500,155800,ACB
218,2012-11-16,2510,2510,2480,2480,105300,ACB
219,2012-11-19,2480,2480,2430,2450,88600,ACB
220,2012-11-20,2460,2480,2450,2480,55700,ACB
221,2012-11-21,2460,2480,2450,2460,68000,ACB
222,2012-11-22,2480,2480,2450,2450,79900,ACB
223,2012-11-23,2450,2460,2430,2450,92400,ACB
224,2012-11-26,2460,2480,2450,2460,93300,ACB
225,2012-11-27,2460,2480,2450,2450,57600,ACB
226,2012-11-28,2450,2460,2430,2460,75800,ACB
227,2012-11-29,2460,2480,2450,2450,37600,ACB
228,2012-11-30,2450,2460,2430,2430,85200,ACB
229,2012-12-03,2430,2450,2430,2430,85000,ACB
230,2012-12-04,2450,2450,2430,2450,79700,ACB
231,2012-12-05,2460,2500,2460,2500,158300,ACB
232,2012-12-06,2500,2500,2450,2460,106200,ACB
233,2012-12-07,2480,2480,2460,2480,41800,ACB
234,2012-12-10,2480,2510,2450,2500,176300,ACB
235,2012-12-11,2510,2510,2480,2510,84900,ACB
236,2012-12-12,2480,2600,2480,2600,236600,ACB
237,2012-12-13,2610,2750,2600,2680,666300,ACB
238,2012-12-14,2680,2850,2680,2810,1305300,ACB
239,2012-12-17,2680,2810,2680,2750,387800,ACB
240,2012-12-18,2750,2750,2660,2680,356300,ACB
241,2012-12-19,2680,2760,2680,2730,335800,ACB
242,2012-12-20,2760,2760,2680,2710,203800,ACB
243,2012-12-21,2700,2710,2660,2700,162600,ACB
244,2012-12-24,2700,2750,2680,2680,265600,ACB
245,2012-12-25,2700,2750,2680,2680,460300,ACB
246,2012-12-26,2730,2750,2700,2750,349400,ACB
247,2012-12-27,2750,2760,2710,2730,598100,ACB
248,2012-12-28,2730,2760,2700,2730,641500,ACB
249,2013-01-02,2730,2920,2730,2900,2578600,ACB
250,2013-01-03,2930,2980,2800,2850,1967200,ACB
251,2013-01-03,2930,2980,2800,2850,1967200,ACB
252,2013-01-04,2830,2880,2800,2860,1170100,ACB
253,2013-01-07,2850,2930,2850,2860,1355700,ACB
254,2013-01-08,2860,2930,2830,2860,2180000,ACB
255,2013-01-09,2860,3050,2860,3030,3861400,ACB
256,2013-01-10,3030,3070,2960,3050,880700,ACB
257,2013-01-11,3180,3180,3050,3050,806200,ACB
258,2013-01-14,3080,3080,2960,3020,614300,ACB
259,2013-01-15,3050,3070,2950,3050,1310500,ACB
260,2013-01-16,3050,3150,3030,3080,1346900,ACB
261,2013-01-17,3050,3080,3000,3000,1068300,ACB
262,2013-01-18,3000,3000,2920,2960,679700,ACB
263,2013-01-21,2980,2980,2920,2930,341900,ACB
264,2013-01-22,2930,2950,2810,2830,738000,ACB
265,2013-01-23,2830,2860,2760,2850,331100,ACB
266,2013-01-24,2880,2920,2830,2900,333700,ACB
267,2013-01-25,2930,3000,2930,2960,786500,ACB
268,2013-01-28,2960,3030,2930,2960,1135900,ACB
269,2013-01-29,2960,3030,2950,3000,572800,ACB
270,2013-01-30,3020,3020,2960,2960,823600,ACB
271,2013-01-31,2950,3000,2930,2960,860100,ACB
272,2013-02-01,2930,2960,2930,2960,583900,ACB
273,2013-02-04,2960,2960,2930,2950,387200,ACB
274,2013-02-05,2950,2950,2900,2920,602000,ACB
275,2013-02-06,2920,2980,2920,2950,542700,ACB
276,2013-02-07,2960,3000,2930,2950,457800,ACB
277,2013-02-08,2960,3000,2950,2980,388500,ACB
278,2013-02-18,2980,3020,2950,2980,469400,ACB
279,2013-02-19,2980,2980,2930,2950,440200,ACB
280,2013-02-20,2920,2930,2850,2920,794100,ACB
281,2013-02-21,2920,2920,2750,2760,1450600,ACB
282,2013-02-22,2760,2850,2750,2810,725900,ACB
283,2013-02-25,2810,2830,2780,2800,279200,ACB
284,2013-02-26,2810,2810,2730,2750,1170100,ACB
285,2013-02-27,2730,2780,2710,2760,579700,ACB
286,2013-02-28,2780,2810,2760,2760,120800,ACB
287,2013-03-01,2780,2800,2760,2780,183700,ACB
288,2013-03-04,2780,2780,2730,2750,493100,ACB
289,2013-03-05,2730,2760,2710,2730,308000,ACB
290,2013-03-06,2700,2760,2680,2750,126600,ACB
291,2013-03-07,2730,2760,2730,2730,238100,ACB
292,2013-03-08,2730,2760,2710,2760,173900,ACB
293,2013-03-11,2650,2780,2650,2760,240000,ACB
294,2013-03-12,2800,2930,2750,2780,110600,ACB
295,2013-03-13,2780,2780,2750,2760,173900,ACB
296,2013-03-14,2750,2780,2750,2760,135300,ACB
297,2013-03-15,2760,2780,2750,2760,78200,ACB
298,2013-03-18,2760,2780,2750,2750,295500,ACB
299,2013-03-19,2760,2780,2750,2750,66000,ACB
300,2013-03-20,2760,2780,2760,2780,111200,ACB
301,2013-03-21,2780,2780,2750,2760,188800,ACB
302,2013-03-22,2760,2780,2750,2760,464500,ACB
303,2013-03-25,2760,2760,2730,2760,154200,ACB
304,2013-03-26,2760,2780,2730,2750,63700,ACB
305,2013-03-27,2750,2760,2700,2750,268300,ACB
306,2013-03-28,2760,2760,2730,2730,232000,ACB
307,2013-03-29,2760,2760,2710,2730,188300,ACB
308,2013-04-01,2710,2750,2710,2750,235700,ACB
309,2013-04-02,2750,2760,2730,2730,259400,ACB
310,2013-04-03,2760,2760,2710,2730,103700,ACB
311,2013-04-04,2730,2730,2700,2700,264100,ACB
312,2013-04-05,2730,2730,2680,2700,328400,ACB
313,2013-04-08,2710,2710,2660,2680,412400,ACB
314,2013-04-09,2680,2700,2660,2680,93600,ACB
315,2013-04-10,2680,2700,2660,2660,157400,ACB
316,2013-04-11,2660,2850,2660,2780,933300,ACB
317,2013-04-12,2780,2850,2750,2760,253600,ACB
318,2013-04-15,2760,2760,2680,2710,347300,ACB
319,2013-04-16,2700,2710,2660,2700,392200,ACB
320,2013-04-17,2650,2680,2630,2660,320700,ACB
321,2013-04-18,2650,2660,2630,2650,447500,ACB
322,2013-04-22,2650,2680,2650,2650,302400,ACB
323,2013-04-23,2650,2680,2650,2660,127600,ACB
324,2013-04-24,2680,2680,2650,2680,59500,ACB
325,2013-04-25,2680,2700,2660,2680,71200,ACB
326,2013-04-26,2680,2710,2680,2700,164700,ACB
327,2013-05-02,2700,2700,2680,2700,181300,ACB
328,2013-05-03,2680,2700,2680,2680,158400,ACB
329,2013-05-06,2680,2710,2680,2700,389900,ACB
330,2013-05-07,2710,2730,2680,2710,367200,ACB
331,2013-05-08,2730,2730,2700,2710,329000,ACB
332,2013-05-09,2710,2750,2710,2730,324500,ACB
333,2013-05-10,2750,2750,2710,2730,181700,ACB
334,2013-05-13,2730,2750,2730,2730,164800,ACB
335,2013-05-14,2730,2750,2710,2710,438800,ACB
336,2013-05-15,2730,2750,2710,2730,217400,ACB
337,2013-05-16,2760,2800,2750,2780,207300,ACB
338,2013-05-17,2850,2850,2800,2810,212300,ACB
339,2013-05-20,2810,2810,2780,2800,339800,ACB
340,2013-05-21,2800,2830,2780,2800,229800,ACB
341,2013-05-22,2830,3020,2830,2920,1511400,ACB
342,2013-05-23,2920,2940,2870,2880,502700,ACB
343,2013-05-24,2900,2900,2870,2880,106700,ACB
344,2013-05-27,2880,2920,2870,2880,678900,ACB
345,2013-05-28,2880,2920,2870,2900,660500,ACB
346,2013-05-29,2920,2940,2880,2880,673900,ACB
347,2013-05-30,2880,2900,2870,2880,319200,ACB
348,2013-05-31,2900,2920,2870,2870,684300,ACB
349,2013-06-03,2900,2970,2880,2940,1074900,ACB
350,2013-06-04,2940,2950,2870,2880,521500,ACB
351,2013-06-05,2900,2900,2870,2900,299300,ACB
352,2013-06-06,2900,2900,2880,2900,489200,ACB
353,2013-06-07,2900,2940,2880,2920,597700,ACB
354,2013-06-10,2940,2940,2900,2920,402400,ACB
355,2013-06-11,2940,2940,2900,2920,399200,ACB
356,2013-06-12,2900,2920,2880,2880,283000,ACB
357,2013-06-13,2900,2900,2850,2850,281500,ACB
358,2013-06-14,2880,2880,2830,2850,354200,ACB
359,2013-06-17,2870,2870,2800,2810,433100,ACB
360,2013-06-18,2810,2830,2760,2810,422300,ACB
361,2013-06-19,2810,2850,2800,2850,286800,ACB
362,2013-06-20,2850,2850,2800,2830,505600,ACB
363,2013-06-21,2810,2830,2800,2830,7000,ACB
364,2013-06-24,2830,2850,2800,2830,578000,ACB
365,2013-06-25,2810,2830,2800,2810,1440600,ACB
366,2013-06-26,2810,2830,2800,2810,336600,ACB
367,2013-06-27,2800,2810,2780,2800,778000,ACB
368,2013-06-28,2800,2830,2800,2800,675700,ACB
369,2013-07-01,2800,2810,2800,2810,341800,ACB
370,2013-07-02,2800,2830,2800,2830,339900,ACB
371,2013-07-03,2810,2830,2800,2810,374100,ACB
372,2013-07-04,2800,2830,2800,2810,298600,ACB
373,2013-07-05,2810,2810,2800,2800,309500,ACB
374,2013-07-08,2800,2800,2760,2780,62200,ACB
375,2013-07-09,2780,2800,2760,2780,341200,ACB
376,2013-07-10,2780,2800,2760,2800,132200,ACB
377,2013-07-11,2780,2800,2760,2780,80300,ACB
378,2013-07-12,2780,2800,2760,2800,231400,ACB
379,2013-07-15,2800,2800,2780,2780,124200,ACB
