no,time,open,high,low,close,volume,ticker
0,2025-01-02,25600,25700,25400,25600,4571487,ACB
1,2025-01-03,25500,25550,25100,25100,5022490,ACB
2,2025-01-06,25000,25050,24750,24800,12058848,ACB
3,2025-01-07,24800,25050,24800,25000,5028704,ACB
4,2025-01-08,25000,25000,24800,25000,4091798,ACB
5,2025-01-09,24950,25000,24850,24950,3842684,ACB
6,2025-01-10,24900,24950,24700,24700,4714444,ACB
7,2025-01-13,24500,24850,24500,24750,4628922,ACB
8,2025-01-14,24750,24800,24500,24650,5066348,ACB
9,2025-01-15,24850,24950,24650,24900,7428403,ACB
10,2025-01-16,24850,25050,24700,24850,5009160,ACB
11,2025-01-17,24850,25000,24800,24950,2381475,ACB
12,2025-01-20,24950,25050,24800,25000,4008919,ACB
13,2025-01-21,25050,25100,24850,24950,4346037,ACB
14,2025-01-22,25000,25000,24800,24850,2791121,ACB
15,2025-01-23,24900,25400,24900,25300,8900937,ACB
16,2025-01-24,25200,25500,25200,25350,4902907,ACB
17,2025-02-03,25050,25300,24900,25100,4775193,ACB
18,2025-02-04,25250,25350,25050,25250,4908445,ACB
19,2025-02-05,25250,25400,25200,25400,7496156,ACB
20,2025-02-06,25500,25650,25400,25500,5599437,ACB
21,2025-02-07,25500,25800,25400,25700,9881521,ACB
